CD_MICRO;NM_MICRO;SIGLA_UF;2013;2014;2015;2016;2017;2018
11001;Porto Velho;RO;5868;5897;6060;6422;7236;7177
11002;Guajará-Mirim;RO;112;119;6;173;107;201
11003;Ariquemes;RO;1528;1165;1124;1070;1371;1158
11004;Ji-Paraná;RO;-4906;-4926;-5013;-5174;-4836;-4990
11005;Alvorada D'Oeste;RO;-1116;-1173;-1111;-1083;-1068;-1120
11006;Cacoal;RO;-2940;-2827;-2961;-3091;-2926;-3277
11007;Vilhena;RO;1547;1416;1448;1453;1644;1557
11008;Colorado do Oeste;RO;-1310;-1375;-1398;-1404;-1325;-1367
12001;Cruzeiro do Sul;AC;779;862;1014;1114;1703;1636
12002;Tarauacá;AC;-196;-25;-186;20;79;4
12003;Sena Madureira;AC;215;370;467;518;692;604
12004;Rio Branco;AC;4595;4087;4367;4503;5297;5420
12005;Brasiléia;AC;663;628;677;639;822;728
13001;Rio Negro;AM;721;830;805;870;813;869
13002;Japurá;AM;-707;-706;-812;-731;-774;-795
13003;Alto Solimões;AM;-2429;-2331;-2856;-2272;-2383;-2476
13004;Juruá;AM;-865;-926;-896;-898;-567;-807
13005;Tefé;AM;-2123;-2377;-2181;-2402;-2275;-2504
13006;Coari;AM;371;218;247;395;471;368
13007;Manaus;AM;10712;10520;9893;11578;14615;15690
13008;Rio Preto da Eva;AM;1465;1488;1568;1674;1750;1810
13009;Itacoatiara;AM;82;47;83;150;156;215
13010;Parintins;AM;-656;-786;-720;-765;-520;-1186
13011;Boca do Acre;AM;-665;-748;-733;-697;-619;-770
13012;Purus;AM;-210;-228;-253;-188;-136;-198
13013;Madeira;AM;1198;1018;911;938;994;738
14001;Boa Vista;RR;4345;4653;4499;4881;5074;5256
14002;Nordeste de Roraima;RR;241;126;121;116;127;323
14003;Caracaraí;RR;608;666;780;713;898;856
14004;Sudeste de Roraima;RR;966;965;1002;971;975;968
15001;Óbidos;PA;550;526;356;657;658;721
15002;Santarém;PA;-3322;-3039;-3428;-3465;-3137;-3570
15003;Almeirim;PA;-82;-198;-149;-176;-116;-21
15004;Portel;PA;1375;1461;1094;1132;1361;1405
15005;Furos de Breves;PA;-627;-938;-1106;-992;-1020;-1276
15006;Arari;PA;2041;2060;1930;1924;2031;2071
15007;Belém;PA;2731;1935;1897;2804;5269;4801
15008;Castanhal;PA;3341;3395;3556;3503;4019;3942
15009;Salgado;PA;56;-94;-172;-143;-65;248
15010;Bragantina;PA;-366;-643;-790;-461;-239;-370
15011;Cametá;PA;1696;1755;1663;1993;2420;2458
15012;Tomé-Açu;PA;5675;5795;6349;6823;7308;8140
15013;Guamá;PA;2405;2440;2913;3209;3867;4433
15014;Itaituba;PA;-1699;-1121;-1665;-1436;-1320;-1626
15015;Altamira;PA;2116;2180;2089;2021;2412;2814
15016;Tucuruí;PA;4093;4259;4330;4580;5153;5464
15017;Paragominas;PA;5315;5868;6409;6700;7348;7825
15018;São Félix do Xingu;PA;11474;12711;13840;15097;16526;17936
