Codigo_UF;CODMUNRES;Nome_Mun;Total_Estimado;Sub_IBGE;Sub_MS
Rondônia;1100015;Alta Floresta D'Oeste;387;0,26;0,52
Rondônia;1100023;Ariquemes;1718;0,87;0,12
Rondônia;1100031;Cabixi;80;0,00;1,25
Rondônia;1100049;Cacoal;1387;0,08;0,36
Rondônia;1100056;Cerejeiras;232;0,00;0,00
Rondônia;1100064;Colorado do Oeste;214;0,00;0,00
Rondônia;1100072;Corumbiara;131;0,01;0,01
Rondônia;1100080;Costa Marques;234;3,42;1,71
Rondônia;1100098;Espigão D'Oeste;445;0,45;1,35
Rondônia;1100106;Guajará-Mirim;806;4,22;0,50
Rondônia;1100114;Jaru;886;0,23;0,45
Rondônia;1100122;Ji-Paraná;2111;0,38;0,33
Rondônia;1100130;Machadinho D'Oeste;501;0,01;0,60
Rondônia;1100148;Nova Brasilândia D'Oeste;255;0,00;0,00
Rondônia;1100155;Ouro Preto do Oeste;626;0,16;0,32
Rondônia;1100189;Pimenta Bueno;601;0,17;1,50
Rondônia;1100205;Porto Velho;8350;0,85;0,24
Rondônia;1100254;Presidente Médici;306;0,00;0,00
Rondônia;1100262;Rio Crespo;56;0,00;0,00
Rondônia;1100288;Rolim de Moura;903;0,22;0,33
Rondônia;1100296;Santa Luzia D'Oeste;107;0,00;0,00
Rondônia;1100304;Vilhena;1595;0,25;0,06
Rondônia;1100320;São Miguel do Guaporé;372;0,00;0,54
Rondônia;1100338;Nova Mamoré;424;1,89;0,01
Rondônia;1100346;Alvorada D'Oeste;213;0,00;0,47
Rondônia;1100379;Alto Alegre dos Parecis;160;0,01;0,01
Rondônia;1100403;Alto Paraíso;248;1,21;1,21
Rondônia;1100452;Buritis;580;0,00;0,35
Rondônia;1100502;Novo Horizonte do Oeste;93;0,00;0,00
Rondônia;1100601;Cacaulândia;79;3,80;2,54
Rondônia;1100700;Campo Novo de Rondônia;173;0,58;0,01
Rondônia;1100809;Candeias do Jamari;350;0,58;0,00
Rondônia;1100908;Castanheiras;39;2,57;2,57
Rondônia;1100924;Chupinguaia;158;1,27;0,64
Rondônia;1100940;Cujubim;241;0,01;0,01
Rondônia;1101005;Governador Jorge Teixeira;108;0,01;0,01
Rondônia;1101104;Itapuã do Oeste;126;1,59;0,80
Rondônia;1101203;Ministro Andreazza;91;0,00;3,30
Rondônia;1101302;Mirante da Serra;164;0,61;0,61
Rondônia;1101401;Monte Negro;204;0,50;0,50
Rondônia;1101435;Nova União;102;0,01;0,01
Rondônia;1101450;Parecis;45;0,00;0,00
Rondônia;1101468;Pimenteiras do Oeste;41;9,76;2,44
Rondônia;1101476;Primavera de Rondônia;49;0,00;0,00
Rondônia;1101484;São Felipe D'Oeste;63;0,00;0,00
Rondônia;1101492;São Francisco do Guaporé;307;0,01;0,98
Rondônia;1101500;Seringueiras;173;0,01;0,01
Rondônia;1101559;Teixeirópolis;68;0,00;1,47
Rondônia;1101609;Theobroma;109;0,92;0,92
Rondônia;1101708;Urupá;181;1,66;2,21
Rondônia;1101757;Vale do Anari;113;0,00;0,00
Rondônia;1101807;Vale do Paraíso;86;1,17;0,00
Acre;1200013;Acrelândia;262;4,65;0,45
Acre;1200054;Assis Brasil;285;6,05;7,10
Acre;1200104;Brasiléia;517;4,13;0,45
Acre;1200138;Bujari;304;11,60;0,43
Acre;1200179;Capixaba;206;7,86;1,55
Acre;1200203;Cruzeiro do Sul;1791;0,92;1,98
Acre;1200252;Epitaciolândia;338;7,75;2,43
Acre;1200302;Feijó;903;4,61;1,95
Acre;1200328;Jordão;232;9,96;5,22
Acre;1200336;Mâncio Lima;371;1,41;1,95
Acre;1200344;Manoel Urbano;253;6,85;10,01
Acre;1200351;Marechal Thaumaturgo;488;9,30;7,87
Acre;1200385;Plácido de Castro;306;7,91;1,38
Acre;1200393;Porto Walter;293;3,27;3,27
Acre;1200401;Rio Branco;6542;5,42;0,34
Acre;1200427;Rodrigues Alves;359;1,27;2,39
Acre;1200435;Santa Rosa do Purus;249;7,41;21,04
Acre;1200450;Senador Guiomard;421;5,77;0,31
Acre;1200500;Sena Madureira;748;5,84;0,62
Acre;1200609;Tarauacá;1133;6,10;0,63
Acre;1200708;Xapuri;296;5,18;1,13
Acre;1200807;Porto Acre;327;17,83;0,72
Amazonas;1300029;Alvarães;464;9,64;5,11
Amazonas;1300060;Amaturá;293;9,32;7,95
Amazonas;1300086;Anamã;223;6,87;1,05
Amazonas;1300102;Anori;243;4,34;1,87
Amazonas;1300144;Apuí;247;5,84;3,01
Amazonas;1300201;Atalaia do Norte;327;28,85;8,39
Amazonas;1300300;Autazes;861;15,47;2,12
Amazonas;1300409;Barcelos;624;43,55;11,79
Amazonas;1300508;Barreirinha;789;13,66;3,14
Amazonas;1300607;Benjamin Constant;1012;12,33;3,24
Amazonas;1300631;Beruri;558;8,93;1,94
Amazonas;1300680;Boa Vista do Ramos;345;20,46;2,47
Amazonas;1300706;Boca do Acre;698;23,25;1,48
Amazonas;1300805;Borba;738;15,95;2,39
Amazonas;1300839;Caapiranga;175;15,04;3,64
Amazonas;1300904;Canutama;211;4,07;5,02
Amazonas;1301001;Carauari;664;13,44;1,70
Amazonas;1301100;Careiro;512;14,20;3,64
Amazonas;1301159;Careiro da Várzea;251;6,64;2,25
Amazonas;1301209;Coari;1695;8,96;1,05
Amazonas;1301308;Codajás;480;10,39;2,68
Amazonas;1301407;Eirunepé;800;16,11;1,85
Amazonas;1301506;Envira;397;8,59;1,53
Amazonas;1301605;Fonte Boa;570;12,44;1,21
Amazonas;1301654;Guajará;292;1,24;1,92
Amazonas;1301704;Humaitá;1034;6,56;3,76
Amazonas;1301803;Ipixuna;401;4,51;5,76
Amazonas;1301852;Iranduba;967;13,26;1,27
Amazonas;1301902;Itacoatiara;2045;5,93;1,78
Amazonas;1301951;Itamarati;250;12,64;1,42
Amazonas;1302009;Itapiranga;183;6,68;2,32
Amazonas;1302108;Japurá;144;34,62;8,89
Amazonas;1302207;Juruá;222;12,16;2,25
Amazonas;1302306;Jutaí;665;13,55;2,12
Amazonas;1302405;Lábrea;906;5,03;2,93
Amazonas;1302504;Manacapuru;2115;11,40;1,28
Amazonas;1302553;Manaquiri;304;9,11;3,18
Amazonas;1302603;Manaus;38210;4,46;0,18
Amazonas;1302702;Manicoré;1028;9,36;2,75
Amazonas;1302801;Maraã;396;19,54;1,89
Amazonas;1302900;Maués;1636;18,41;7,96
Amazonas;1303007;Nhamundá;328;5,90;3,77
Amazonas;1303106;Nova Olinda do Norte;579;9,04;2,66
Amazonas;1303205;Novo Airão;322;6,41;1,44
Amazonas;1303304;Novo Aripuanã;390;8,73;1,29
Amazonas;1303403;Parintins;2111;6,16;2,13
Amazonas;1303502;Pauini;396;30,11;5,89
Amazonas;1303536;Presidente Figueiredo;511;5,20;2,46
Amazonas;1303569;Rio Preto da Eva;459;19,78;1,47
Amazonas;1303601;Santa Isabel do Rio Negro;340;23,05;6,90
Amazonas;1303700;Santo Antônio do Içá;810;9,33;2,90
Amazonas;1303809;São Gabriel da Cachoeira;1470;17,99;2,41
Amazonas;1303908;São Paulo de Olivença;1012;14,16;6,75
Amazonas;1303957;São Sebastião do Uatumã;190;14,36;1,75
Amazonas;1304005;Silves;226;5,45;3,24
Amazonas;1304062;Tabatinga;1953;11,43;6,00
Amazonas;1304104;Tapauá;456;14,67;3,48
Amazonas;1304203;Tefé;1920;16,98;1,30
Amazonas;1304237;Tonantins;438;12,54;6,37
Amazonas;1304260;Uarini;389;9,25;7,71
Amazonas;1304302;Urucará;327;5,09;0,80
Amazonas;1304401;Urucurituba;327;9,91;4,71
Roraima;1400027;Amajari;433;71,62;7,23
Roraima;1400050;Alto Alegre;742;70,74;8,44
Roraima;1400100;Boa Vista;9439;3,81;1,82
Roraima;1400159;Bonfim;481;23,71;3,13
Roraima;1400175;Cantá;315;15,68;1,41
Roraima;1400209;Caracaraí;486;18,28;3,67
Roraima;1400233;Caroebe;202;10,52;3,11
Roraima;1400282;Iracema;177;40,05;2,72
Roraima;1400308;Mucajaí;359;17,25;1,09
Roraima;1400407;Normandia;472;33,51;4,30
Roraima;1400456;Pacaraima;685;12,90;24,72
Roraima;1400472;Rorainópolis;584;5,73;0,59
Roraima;1400506;São João da Baliza;127;11,98;1,76
Roraima;1400605;São Luiz;26;15,50;3,98
Roraima;1400704;Uiramutã;710;58,43;17,01
Pará;1500107;Abaetetuba;2841;2,90;1,35
Pará;1500131;Abel Figueiredo;140;6,52;2,24
Pará;1500206;Acará;1023;22,38;1,46
Pará;1500305;Afuá;973;20,74;5,21
Pará;1500347;Água Azul do Norte;221;2,81;0,10
Pará;1500404;Alenquer;1231;6,66;2,03
Pará;1500503;Almeirim;1026;11,04;0,23
Pará;1500602;Altamira;2342;5,67;0,24
Pará;1500701;Anajás;763;13,77;2,51
Pará;1500800;Ananindeua;6861;4,61;0,36
Pará;1500859;Anapu;654;15,56;0,26
Pará;1500909;Augusto Corrêa;834;14,16;3,13
Pará;1500958;Aurora do Pará;451;7,66;2,11
Pará;1501006;Aveiro;205;12,04;6,66
Pará;1501105;Bagre;600;11,85;1,35
Pará;1501204;Baião;543;10,46;2,53
Pará;1501253;Bannach;48;18,93;2,31
Pará;1501303;Barcarena;2222;5,48;0,71
Pará;1501402;Belém;18652;3,53;0,48
Pará;1501451;Belterra;341;7,41;2,14
Pará;1501501;Benevides;1035;3,34;0,73
Pará;1501576;Bom Jesus do Tocantins;259;21,32;1,65
Pará;1501600;Bonito;210;3,91;0,58
Pará;1501709;Bragança;2107;7,47;0,73
Pará;1501725;Brasil Novo;364;2,57;0,38
Pará;1501758;Brejo Grande do Araguaia;111;9,99;0,09
Pará;1501782;Breu Branco;797;5,27;0,37
Pará;1501808;Breves;2728;7,93;0,90
Pará;1501907;Bujaru;511;9,51;3,44
Pará;1501956;Cachoeira do Piriá;408;10,76;1,45
Pará;1502004;Cachoeira do Arari;338;17,97;1,98
Pará;1502103;Cametá;2472;10,97;1,02
Pará;1502152;Canaã dos Carajás;1169;2,88;0,06
Pará;1502202;Capanema;1021;5,44;0,15
Pará;1502301;Capitão Poço;819;5,00;0,48
Pará;1502400;Castanhal;3303;2,17;0,30
Pará;1502509;Chaves;361;29,30;2,68
Pará;1502608;Colares;171;3,64;1,89
Pará;1502707;Conceição do Araguaia;700;4,49;0,21
Pará;1502756;Concórdia do Pará;630;8,98;3,90
Pará;1502764;Cumaru do Norte;200;20,32;3,28
Pará;1502772;Curionópolis;366;2,80;0,07
Pará;1502806;Curralinho;758;8,76;4,41
Pará;1502855;Curuá;303;16,46;7,87
Pará;1502905;Curuçá;561;13,42;2,91
Pará;1502939;Dom Eliseu;621;3,65;0,59
Pará;1502954;Eldorado do Carajás;521;9,32;0,10
Pará;1503002;Faro;152;2,74;2,09
Pará;1503044;Floresta do Araguaia;339;11,89;0,10
Pará;1503077;Garrafão do Norte;493;8,90;0,78
Pará;1503093;Goianésia do Pará;483;15,03;1,97
Pará;1503101;Gurupá;705;12,87;2,80
Pará;1503200;Igarapé-Açu;583;8,46;3,48
Pará;1503309;Igarapé-Miri;1149;10,56;2,38
Pará;1503408;Inhangapi;192;4,77;2,17
Pará;1503457;Ipixuna do Pará;636;8,60;0,26
Pará;1503507;Irituia;523;5,52;2,84
Pará;1503606;Itaituba;2352;9,44;2,47
Pará;1503705;Itupiranga;807;12,63;0,86
Pará;1503754;Jacareacanga;602;22,46;4,03
Pará;1503804;Jacundá;789;3,60;1,83
Pará;1503903;Juruti;1116;6,43;0,96
Pará;1504000;Limoeiro do Ajuru;498;7,81;0,38
Pará;1504059;Mãe do Rio;561;2,19;0,23
Pará;1504109;Magalhães Barata;123;1,69;0,88
Pará;1504208;Marabá;4923;21,84;0,57
Pará;1504307;Maracanã;367;6,09;1,47
Pará;1504406;Marapanim;334;6,65;2,76
Pará;1504422;Marituba;1780;4,06;0,18
Pará;1504455;Medicilândia;435;27,43;0,10
Pará;1504505;Melgaço;686;18,68;1,33
Pará;1504604;Mocajuba;543;4,85;1,35
Pará;1504703;Moju;1257;14,78;2,85
Pará;1504752;Mojuí dos Campos;381;3,33;0,70
Pará;1504802;Monte Alegre;1084;3,88;0,37
Pará;1504901;Muaná;627;14,10;2,94
Pará;1504950;Nova Esperança do Piriá;454;5,62;0,77
Pará;1504976;Nova Ipixuna;237;9,81;1,80
Pará;1505007;Nova Timboteua;91;5,55;2,25
Pará;1505031;Novo Progresso;376;16,18;0,21
Pará;1505064;Novo Repartimento;1186;14,93;2,11
Pará;1505106;Óbidos;1060;11,52;1,05
Pará;1505205;Oeiras do Pará;671;10,74;1,21
Pará;1505304;Oriximiná;1582;7,06;1,94
Pará;1505403;Ourém;382;8,97;5,05
Pará;1505437;Ourilândia do Norte;682;12,47;0,44
Pará;1505486;Pacajá;794;6,54;0,24
Pará;1505494;Palestina do Pará;114;7,97;7,09
Pará;1505502;Paragominas;2078;3,70;0,66
Pará;1505536;Parauapebas;4488;3,49;0,24
Pará;1505551;Pau D'Arco;126;7,35;5,76
Pará;1505601;Peixe-Boi;100;12,08;0,09
Pará;1505635;Piçarra;187;11,88;0,66
Pará;1505650;Placas;254;2,86;1,29
Pará;1505700;Ponta de Pedras;461;4,54;0,42
Pará;1505809;Portel;1587;18,53;1,02
Pará;1505908;Porto de Moz;772;13,25;3,40
Pará;1506005;Prainha;760;9,56;0,74
Pará;1506104;Primavera;201;4,58;1,60
Pará;1506112;Quatipuru;173;8,17;4,70
Pará;1506138;Redenção;1726;2,79;0,24
Pará;1506161;Rio Maria;280;1,51;0,08
Pará;1506187;Rondon do Pará;516;3,21;0,30
Pará;1506195;Rurópolis;463;6,81;5,08
Pará;1506203;Salinópolis;725;10,39;0,33
Pará;1506302;Salvaterra;361;10,89;3,41
Pará;1506351;Santa Bárbara do Pará;346;5,24;0,33
Pará;1506401;Santa Cruz do Arari;159;11,54;6,52
Pará;1506500;Santa Izabel do Pará;967;11,31;1,07
Pará;1506559;Santa Luzia do Pará;305;13,57;1,45
Pará;1506583;Santa Maria das Barreiras;218;8,39;0,61
Pará;1506609;Santa Maria do Pará;467;6,27;3,70
Pará;1506708;Santana do Araguaia;633;14,01;2,31
Pará;1506807;Santarém;6574;8,51;0,49
Pará;1506906;Santarém Novo;97;0,08;0,08
Pará;1507003;Santo Antônio do Tauá;508;6,54;0,44
Pará;1507102;São Caetano de Odivelas;233;8,26;0,55
Pará;1507151;São Domingos do Araguaia;392;3,92;0,35
Pará;1507201;São Domingos do Capim;478;6,61;0,33
Pará;1507300;São Félix do Xingu;1075;13,55;0,80
Pará;1507409;São Francisco do Pará;239;2,98;0,47
Pará;1507458;São Geraldo do Araguaia;451;7,39;0,08
Pará;1507466;São João da Ponta;84;6,07;2,50
Pará;1507474;São João de Pirabas;320;10,39;2,27
Pará;1507508;São João do Araguaia;174;14,47;1,27
Pará;1507607;São Miguel do Guamá;916;5,75;1,28
Pará;1507706;São Sebastião da Boa Vista;613;9,65;4,11
Pará;1507755;Sapucaia;125;11,29;3,30
Pará;1507805;Senador José Porfírio;320;14,47;0,73
Pará;1507904;Soure;377;20,47;1,65
Pará;1507953;Tailândia;1599;8,75;0,87
Pará;1507961;Terra Alta;222;1,85;0,95
Pará;1507979;Terra Santa;322;10,31;3,79
Pará;1508001;Tomé-Açu;1544;16,50;1,99
Pará;1508035;Tracuateua;502;3,47;1,28
Pará;1508050;Trairão;303;23,52;3,73
Pará;1508084;Tucumã;786;5,93;0,46
Pará;1508100;Tucuruí;1728;6,00;0,33
Pará;1508126;Ulianópolis;423;8,60;0,34
Pará;1508159;Uruará;803;2,59;0,10
Pará;1508209;Vigia;757;8,53;0,20
Pará;1508308;Viseu;1016;17,05;2,69
Pará;1508357;Vitória do Xingu;353;6,90;0,11
Pará;1508407;Xinguara;930;5,34;0,18
Amapá;1600055;Serra do Navio;98;17,43;11,31
Amapá;1600105;Amapá;184;7,68;1,71
Amapá;1600154;Pedra Branca do Amapari;300;33,05;2,74
Amapá;1600204;Calçoene;218;8,22;4,55
Amapá;1600212;Cutias;101;23,88;2,13
Amapá;1600238;Ferreira Gomes;171;9,18;2,15
Amapá;1600253;Itaubal;134;13,97;1,26
Amapá;1600279;Laranjal do Jari;787;22,45;1,22
Amapá;1600303;Macapá;8818;6,71;0,66
Amapá;1600402;Mazagão;541;9,76;2,55
Amapá;1600501;Oiapoque;623;16,18;3,34
Amapá;1600535;Porto Grande;397;19,73;3,63
Amapá;1600550;Pracuúba;75;5,57;5,57
Amapá;1600600;Santana;2830;6,47;3,58
Amapá;1600709;Tartarugalzinho;361;10,23;7,73
Amapá;1600808;Vitória do Jari;295;7,55;1,12
Tocantins;1700251;Abreulândia;34;3,02;0,08
Tocantins;1700301;Aguiarnópolis;80;0,09;0,09
Tocantins;1700350;Aliança do Tocantins;70;4,31;4,31
Tocantins;1700400;Almas;111;1,89;0,09
Tocantins;1700707;Alvorada;132;1,56;1,56
Tocantins;1701002;Ananás;172;1,77;0,61
Tocantins;1701051;Angico;61;13,14;3,31
Tocantins;1701101;Aparecida do Rio Negro;78;1,31;0,03
Tocantins;1701309;Aragominas;88;4,67;2,40
Tocantins;1701903;Araguacema;113;9,81;5,39
Tocantins;1702000;Araguaçu;97;3,12;1,06
Tocantins;1702109;Araguaína;3057;1,61;0,08
Tocantins;1702158;Araguanã;88;9,19;3,52
Tocantins;1702208;Araguatins;579;4,77;3,91
Tocantins;1702307;Arapoema;91;2,29;0,09
Tocantins;1702406;Arraias;152;2,07;0,76
Tocantins;1702554;Augustinópolis;362;6,92;5,27
Tocantins;1702703;Aurora do Tocantins;43;2,41;0,09
Tocantins;1702901;Axixá do Tocantins;186;5,43;3,28
Tocantins;1703008;Babaçulândia;118;5,17;1,78
Tocantins;1703057;Bandeirantes do Tocantins;49;6,21;4,17
Tocantins;1703073;Barra do Ouro;84;3,71;0,14
Tocantins;1703107;Barrolândia;69;1,56;0,11
Tocantins;1703206;Bernardo Sayão;71;1,57;4,38
Tocantins;1703305;Bom Jesus do Tocantins;76;5,37;1,43
Tocantins;1703602;Brasilândia do Tocantins;25;4,09;4,09
Tocantins;1703701;Brejinho de Nazaré;61;0,03;0,03
Tocantins;1703800;Buriti do Tocantins;165;1,23;1,84
Tocantins;1703826;Cachoeirinha;32;3,17;0,05
Tocantins;1703842;Campos Lindos;174;5,31;1,29
Tocantins;1703867;Cariri do Tocantins;51;2,00;2,00
Tocantins;1703883;Carmolândia;51;5,91;0,03
Tocantins;1703891;Carrasco Bonito;54;0,09;0,09
Tocantins;1703909;Caseara;98;2,13;1,11
Tocantins;1704105;Centenário;26;0,10;3,94
Tocantins;1704600;Chapada de Areia;20;0,11;0,11
Tocantins;1705102;Chapada da Natividade;38;0,09;0,09
Tocantins;1705508;Colinas do Tocantins;560;0,77;0,42
Tocantins;1705557;Combinado;62;3,27;3,27
Tocantins;1705607;Conceição do Tocantins;63;3,28;0,11
Tocantins;1706001;Couto Magalhães;64;6,38;3,26
Tocantins;1706100;Cristalândia;79;7,62;3,83
Tocantins;1706258;Crixás do Tocantins;12;0,09;0,09
Tocantins;1706506;Darcinópolis;109;1,07;2,90
Tocantins;1707009;Dianópolis;286;3,54;1,45
Tocantins;1707108;Divinópolis do Tocantins;116;9,51;7,79
Tocantins;1707207;Dois Irmãos do Tocantins;73;2,85;0,11
Tocantins;1707306;Dueré;57;3,61;1,86
Tocantins;1707405;Esperantina;162;7,50;2,57
Tocantins;1707553;Fátima;53;1,93;0,05
Tocantins;1707652;Figueirópolis;66;0,02;0,02
Tocantins;1707702;Filadélfia;137;5,92;8,11
Tocantins;1708205;Formoso do Araguaia;299;7,05;1,03
Tocantins;1708254;Fortaleza do Tabocão;78;0,03;0,03
Tocantins;1708304;Goianorte;66;1,63;1,63
Tocantins;1709005;Goiatins;297;24,32;19,95
Tocantins;1709302;Guaraí;360;1,71;0,05
Tocantins;1709500;Gurupi;1367;1,55;0,08
Tocantins;1709807;Ipueiras;15;0,11;0,11
Tocantins;1710508;Itacajá;135;14,93;2,35
Tocantins;1710706;Itaguatins;87;11,59;2,41
Tocantins;1710904;Itapiratins;57;1,87;0,12
Tocantins;1711100;Itaporã do Tocantins;34;5,97;0,09
Tocantins;1711506;Jaú do Tocantins;45;2,35;4,57
Tocantins;1711803;Juarina;32;6,36;0,11
Tocantins;1711902;Lagoa da Confusão;290;6,64;4,23
Tocantins;1711951;Lagoa do Tocantins;65;12,40;1,65
Tocantins;1712009;Lajeado;42;4,85;0,09
Tocantins;1712157;Lavandeira;22;0,08;0,08
