Codigo_UF;Nome_UF;CODMUNRES;Nome_Mun;Total_Estimado;Sub_IBGE;Sub_MS
11;Rondônia;1100015;Alta Floresta D'Oeste;339;0,30;1,19
11;Rondônia;1100023;Ariquemes;1487;1,08;0,21
11;Rondônia;1100031;Cabixi;73;0,01;0,01
11;Rondônia;1100049;Cacoal;1327;0,16;0,38
11;Rondônia;1100056;Cerejeiras;273;0,37;0,01
11;Rondônia;1100064;Colorado do Oeste;200;0,51;0,01
11;Rondônia;1100072;Corumbiara;103;0,01;0,01
11;Rondônia;1100080;Costa Marques;212;1,90;3,31
11;Rondônia;1100098;Espigão D'Oeste;466;0,01;0,87
11;Rondônia;1100106;Guajará-Mirim;861;5,47;0,13
11;Rondônia;1100114;Jaru;868;0,24;0,24
11;Rondônia;1100122;Ji-Paraná;2086;0,68;0,48
11;Rondônia;1100130;Machadinho D'Oeste;566;0,01;0,19
11;Rondônia;1100148;Nova Brasilândia D'Oeste;234;0,43;0,86
11;Rondônia;1100155;Ouro Preto do Oeste;583;0,52;0,86
11;Rondônia;1100189;Pimenta Bueno;576;0,01;0,70
11;Rondônia;1100205;Porto Velho;7816;1,63;0,17
11;Rondônia;1100254;Presidente Médici;271;0,01;0,01
11;Rondônia;1100262;Rio Crespo;52;1,93;0,01
11;Rondônia;1100288;Rolim de Moura;855;0,24;1,52
11;Rondônia;1100296;Santa Luzia D'Oeste;101;0,01;1,00
11;Rondônia;1100304;Vilhena;1554;0,33;0,00
11;Rondônia;1100320;São Miguel do Guaporé;366;0,01;0,56
11;Rondônia;1100338;Nova Mamoré;433;4,17;1,17
11;Rondônia;1100346;Alvorada D'Oeste;211;0,48;0,48
11;Rondônia;1100379;Alto Alegre dos Parecis;160;0,64;1,88
11;Rondônia;1100403;Alto Paraíso;236;2,13;0,86
11;Rondônia;1100452;Buritis;501;0,01;0,01
11;Rondônia;1100502;Novo Horizonte do Oeste;95;0,01;1,06
11;Rondônia;1100601;Cacaulândia;72;4,18;5,57
11;Rondônia;1100700;Campo Novo de Rondônia;177;0,58;0,01
11;Rondônia;1100809;Candeias do Jamari;371;1,09;0,55
11;Rondônia;1100908;Castanheiras;42;0,01;0,01
11;Rondônia;1100924;Chupinguaia;169;0,01;0,01
11;Rondônia;1100940;Cujubim;279;1,09;1,81
11;Rondônia;1101005;Governador Jorge Teixeira;90;0,01;2,23
11;Rondônia;1101104;Itapuã do Oeste;135;0,01;0,01
11;Rondônia;1101203;Ministro Andreazza;77;0,01;0,01
11;Rondônia;1101302;Mirante da Serra;176;1,15;0,58
11;Rondônia;1101401;Monte Negro;176;0,58;0,58
11;Rondônia;1101435;Nova União;92;0,01;0,01
11;Rondônia;1101450;Parecis;63;0,01;1,60
11;Rondônia;1101468;Pimenteiras do Oeste;40;5,01;2,51
11;Rondônia;1101476;Primavera de Rondônia;44;0,01;2,28
11;Rondônia;1101484;São Felipe D'Oeste;70;1,44;1,44
11;Rondônia;1101492;São Francisco do Guaporé;265;0,39;2,27
11;Rondônia;1101500;Seringueiras;167;0,01;0,61
11;Rondônia;1101559;Teixeirópolis;48;0,01;0,01
11;Rondônia;1101609;Theobroma;121;0,01;0,01
11;Rondônia;1101708;Urupá;157;2,56;2,56
11;Rondônia;1101757;Vale do Anari;84;1,20;1,20
11;Rondônia;1101807;Vale do Paraíso;69;0,01;0,01
12;Acre;1200013;Acrelândia;245;3,39;0,54
12;Acre;1200054;Assis Brasil;231;11,40;8,38
12;Acre;1200104;Brasiléia;519;5,32;0,50
12;Acre;1200138;Bujari;225;24,13;1,05
12;Acre;1200179;Capixaba;193;10,52;0,69
12;Acre;1200203;Cruzeiro do Sul;1671;0,68;0,80
12;Acre;1200252;Epitaciolândia;315;5,18;5,50
12;Acre;1200302;Feijó;847;4,57;5,98
12;Acre;1200328;Jordão;274;10,93;21,15
12;Acre;1200336;Mâncio Lima;449;1,72;1,50
12;Acre;1200344;Manoel Urbano;278;15,92;4,78
12;Acre;1200351;Marechal Thaumaturgo;348;13,43;3,94
12;Acre;1200385;Plácido de Castro;279;10,86;1,91
12;Acre;1200393;Porto Walter;304;9,12;4,18
12;Acre;1200401;Rio Branco;5859;9,91;0,20
12;Acre;1200427;Rodrigues Alves;359;1,33;1,06
12;Acre;1200435;Santa Rosa do Purus;214;10,01;32,39
12;Acre;1200450;Senador Guiomard;407;13,42;1,12
12;Acre;1200500;Sena Madureira;696;11,67;0,90
12;Acre;1200609;Tarauacá;1161;10,88;1,07
12;Acre;1200708;Xapuri;305;12,33;0,18
12;Acre;1200807;Porto Acre;344;19,67;1,04
13;Amazonas;1300029;Alvarães;432;13,25;2,37
13;Amazonas;1300060;Amaturá;279;6,91;5,12
13;Amazonas;1300086;Anamã;267;8,49;0,62
13;Amazonas;1300102;Anori;269;5,72;3,12
13;Amazonas;1300144;Apuí;268;9,19;0,97
13;Amazonas;1300201;Atalaia do Norte;296;25,36;9,48
13;Amazonas;1300300;Autazes;925;17,64;2,08
13;Amazonas;1300409;Barcelos;524;48,49;5,19
13;Amazonas;1300508;Barreirinha;820;31,95;1,58
