Codigo_UF;Nome_UF;CODMUNRES;Nome_Mun;Total_Estimado;Sub_IBGE;Sub_MS
11;Rondônia;110001;Alta Floresta D'Oeste;110;0,06;0,06
11;Rondônia;110002;Ariquemes;521;0,79;1,36
11;Rondônia;110003;Cabixi;22;4,59;0,05
11;Rondônia;110004;Cacoal;491;0,23;0,03
11;Rondônia;110005;Cerejeiras;114;0,92;0,04
11;Rondônia;110006;Colorado do Oeste;110;0,04;0,04
11;Rondônia;110007;Corumbiara;38;5,33;0,07
11;Rondônia;110008;Costa Marques;63;1,66;14,35
11;Rondônia;110009;Espigão D'Oeste;158;1,33;3,23
11;Rondônia;110010;Guajará-Mirim;203;18,27;1,53
11;Rondônia;110011;Jaru;268;1,15;4,14
11;Rondônia;110012;Ji-Paraná;650;0,94;1,56
11;Rondônia;110013;Machadinho D'Oeste;152;0,74;4,69
11;Rondônia;110014;Nova Brasilândia D'Oeste;96;0,03;0,03
11;Rondônia;110015;Ouro Preto do Oeste;228;0,91;1,78
11;Rondônia;110018;Pimenta Bueno;212;0,03;2,86
11;Rondônia;110020;Porto Velho;2459;1,20;1,24
11;Rondônia;110025;Presidente Médici;133;1,57;2,32
11;Rondônia;110026;Rio Crespo;29;6,96;24,19
11;Rondônia;110028;Rolim de Moura;302;0,68;2,01
11;Rondônia;110029;Santa Luzia D'Oeste;42;0,05;0,05
11;Rondônia;110030;Vilhena;459;0,89;0,46
11;Rondônia;110032;São Miguel do Guaporé;110;0,06;0,06
11;Rondônia;110033;Nova Mamoré;113;7,14;3,61
11;Rondônia;110034;Alvorada D'Oeste;95;0,06;0,06
11;Rondônia;110037;Alto Alegre dos Parecis;44;0,06;0,06
11;Rondônia;110040;Alto Paraíso;72;0,08;1,47
11;Rondônia;110045;Buritis;168;0,07;1,26
11;Rondônia;110050;Novo Horizonte do Oeste;48;0,06;4,22
11;Rondônia;110060;Cacaulândia;39;23,13;23,13
11;Rondônia;110070;Campo Novo de Rondônia;39;2,63;5,19
11;Rondônia;110080;Candeias do Jamari;108;1,93;5,63
11;Rondônia;110090;Castanheiras;20;5,06;5,06
11;Rondônia;110092;Chupinguaia;39;7,80;0,12
11;Rondônia;110094;Cujubim;67;1,61;19,50
11;Rondônia;110100;Governador Jorge Teixeira;43;0,07;0,07
11;Rondônia;110110;Itapuã do Oeste;35;2,92;2,92
11;Rondônia;110120;Ministro Andreazza;49;0,06;0,06
11;Rondônia;110130;Mirante da Serra;57;1,83;5,34
11;Rondônia;110140;Monte Negro;62;0,07;14,58
11;Rondônia;110143;Nova União;43;0,07;4,72
11;Rondônia;110145;Parecis;12;0,06;8,39
11;Rondônia;110146;Pimenteiras do Oeste;17;0,05;5,93
11;Rondônia;110147;Primavera de Rondônia;13;0,04;0,04
11;Rondônia;110148;São Felipe D'Oeste;25;0,06;4,05
11;Rondônia;110149;São Francisco do Guaporé;54;0,06;1,91
11;Rondônia;110150;Seringueiras;44;0,05;0,05
11;Rondônia;110155;Teixeirópolis;25;0,07;0,07
11;Rondônia;110160;Theobroma;48;0,05;14,63
11;Rondônia;110170;Urupá;57;0,04;1,79
11;Rondônia;110175;Vale do Anari;55;0,07;5,52
11;Rondônia;110180;Vale do Paraíso;60;6,73;8,40
12;Acre;120001;Acrelândia;49;0,14;2,18
12;Acre;120005;Assis Brasil;47;4,48;2,36
12;Acre;120010;Brasiléia;116;0,18;0,18
12;Acre;120013;Bujari;48;4,31;0,15
12;Acre;120017;Capixaba;40;7,79;2,81
12;Acre;120020;Cruzeiro do Sul;360;1,48;0,65
12;Acre;120025;Epitaciolândia;74;9,55;1,45
12;Acre;120030;Feijó;133;1,73;3,23
12;Acre;120032;Jordão;20;55,07;0,15
12;Acre;120033;Mâncio Lima;76;1,44;2,75
12;Acre;120034;Manoel Urbano;40;2,76;2,76
12;Acre;120035;Marechal Thaumaturgo;37;8,38;0,29
12;Acre;120038;Plácido de Castro;79;3,95;2,69
12;Acre;120039;Porto Walter;23;4,55;4,55
12;Acre;120040;Rio Branco;2043;3,56;1,50
12;Acre;120042;Rodrigues Alves;42;2,63;2,63
12;Acre;120043;Santa Rosa do Purus;16;6,53;0,30
12;Acre;120045;Senador Guiomard;97;1,23;0,20
12;Acre;120050;Sena Madureira;156;9,14;2,74
