Codigo_UF;Nome_UF;CODMUNRES;Nome_Mun;Total_Estimado;Sub_IBGE;Sub_MS
11;Rondônia;1100015;Alta Floresta D'Oeste;346;0,59;0,30
11;Rondônia;1100023;Ariquemes;1.523;0,99;0,00
11;Rondônia;1100031;Cabixi;71;1,42;2,83
11;Rondônia;1100049;Cacoal;1.382;0,80;1,02
11;Rondônia;1100056;Cerejeiras;250;0,00;0,00
11;Rondônia;1100064;Colorado do Oeste;230;0,00;0,44
11;Rondônia;1100072;Corumbiara;116;0,87;0,01
11;Rondônia;1100080;Costa Marques;209;2,88;2,40
11;Rondônia;1100098;Espigão D'Oeste;491;1,02;2,86
11;Rondônia;1100106;Guajará-Mirim;839;5,26;0,37
11;Rondônia;1100114;Jaru;892;0,12;0,34
11;Rondônia;1100122;Ji-Paraná;1.952;0,57;0,16
11;Rondônia;1100130;Machadinho D'Oeste;490;0,21;1,84
11;Rondônia;1100148;Nova Brasilândia D'Oeste;229;0,01;0,01
11;Rondônia;1100155;Ouro Preto do Oeste;529;0,00;0,19
11;Rondônia;1100189;Pimenta Bueno;569;0,00;0,00
11;Rondônia;1100205;Porto Velho;7.656;1,05;0,32
11;Rondônia;1100254;Presidente Médici;260;0,01;0,39
11;Rondônia;1100262;Rio Crespo;52;0,01;1,93
11;Rondônia;1100288;Rolim de Moura;830;0,12;1,57
11;Rondônia;1100296;Santa Luzia D'Oeste;77;0,01;1,30
11;Rondônia;1100304;Vilhena;1.637;0,74;0,01
11;Rondônia;1100320;São Miguel do Guaporé;357;0,85;2,25
11;Rondônia;1100338;Nova Mamoré;476;2,11;0,22
11;Rondônia;1100346;Alvorada D'Oeste;191;1,05;0,01
11;Rondônia;1100379;Alto Alegre dos Parecis;162;0,63;2,48
11;Rondônia;1100403;Alto Paraíso;233;0,87;0,01
11;Rondônia;1100452;Buritis;545;0,01;0,01
11;Rondônia;1100502;Novo Horizonte do Oeste;98;0,01;2,05
11;Rondônia;1100601;Cacaulândia;62;0,01;0,01
11;Rondônia;1100700;Campo Novo de Rondônia;143;0,01;0,01
11;Rondônia;1100809;Candeias do Jamari;372;0,28;0,01
11;Rondônia;1100908;Castanheiras;40;0,01;0,01
11;Rondônia;1100924;Chupinguaia;155;0,01;0,01
11;Rondônia;1100940;Cujubim;252;0,80;0,01
11;Rondônia;1101005;Governador Jorge Teixeira;115;0,01;0,01
11;Rondônia;1101104;Itapuã do Oeste;133;0,76;0,01
11;Rondônia;1101203;Ministro Andreazza;68;0,01;1,48
11;Rondônia;1101302;Mirante da Serra;150;0,67;0,01
11;Rondônia;1101401;Monte Negro;173;0,01;0,01
11;Rondônia;1101435;Nova União;86;1,17;0,01
11;Rondônia;1101450;Parecis;46;0,01;2,18
11;Rondônia;1101468;Pimenteiras do Oeste;42;16,67;2,39
11;Rondônia;1101476;Primavera de Rondônia;43;0,01;0,01
11;Rondônia;1101484;São Felipe D'Oeste;50;0,01;2,01
11;Rondônia;1101492;São Francisco do Guaporé;278;0,37;1,09
11;Rondônia;1101500;Seringueiras;187;0,01;0,01
11;Rondônia;1101559;Teixeirópolis;55;0,01;0,01
11;Rondônia;1101609;Theobroma;92;0,01;0,01
11;Rondônia;1101708;Urupá;175;1,72;2,29
11;Rondônia;1101757;Vale do Anari;93;0,01;1,09
11;Rondônia;1101807;Vale do Paraíso;71;0,01;0,01
12;Acre;1200013;Acrelândia;255;3,55;0,02
12;Acre;1200054;Assis Brasil;276;5,80;2,18
12;Acre;1200104;Brasiléia;517;1,38;0,61
12;Acre;1200138;Bujari;243;17,72;0,03
12;Acre;1200179;Capixaba;221;11,79;0,03
12;Acre;1200203;Cruzeiro do Sul;1.821;0,59;0,48
12;Acre;1200252;Epitaciolândia;307;5,56;0,03
12;Acre;1200302;Feijó;901;7,23;1,69
12;Acre;1200328;Jordão;321;9,63;4,65
12;Acre;1200336;Mâncio Lima;378;0,30;0,04
12;Acre;1200344;Manoel Urbano;276;13,29;2,41
12;Acre;1200351;Marechal Thaumaturgo;451;11,52;2,21
12;Acre;1200385;Plácido de Castro;278;6,50;0,74
