Codigo_UF;Nome_UF;CODMUNRES;Nome_Mun;Total_Estimado;Sub_IBGE;Sub_MS
11;Rondônia;1100015;Alta Floresta D'Oeste;143;0,72;1,42
11;Rondônia;1100023;Ariquemes;511;0,01;0,41
11;Rondônia;1100031;Cabixi;40;0,02;0,02
11;Rondônia;1100049;Cacoal;480;0,02;0,44
11;Rondônia;1100056;Cerejeiras;108;1,87;0,02
11;Rondônia;1100064;Colorado do Oeste;88;1,15;2,29
11;Rondônia;1100072;Corumbiara;35;0,03;0,03
11;Rondônia;1100080;Costa Marques;60;3,36;5,02
11;Rondônia;1100098;Espigão D'Oeste;169;0,62;1,21
11;Rondônia;1100106;Guajará-Mirim;225;3,13;1,35
11;Rondônia;1100114;Jaru;288;0,38;1,42
11;Rondônia;1100122;Ji-Paraná;675;0,9;8,16
11;Rondônia;1100130;Machadinho D'Oeste;139;0,03;3,63
11;Rondônia;1100148;Nova Brasilândia D'Oeste;105;0,03;0,98
11;Rondônia;1100155;Ouro Preto do Oeste;246;0,43;0,02
11;Rondônia;1100189;Pimenta Bueno;216;0,01;0,48
11;Rondônia;1100205;Porto Velho;2242;0,59;1,66
11;Rondônia;1100254;Presidente Médici;126;0,82;8,75
11;Rondônia;1100262;Rio Crespo;13;0,02;15,4
11;Rondônia;1100288;Rolim de Moura;319;0,33;0,95
11;Rondônia;1100296;Santa Luzia D'Oeste;59;0,02;1,72
11;Rondônia;1100304;Vilhena;485;0,83;1,04
11;Rondônia;1100320;São Miguel do Guaporé;128;0,02;3,15
11;Rondônia;1100338;Nova Mamoré;119;0,87;1,71
11;Rondônia;1100346;Alvorada D'Oeste;84;1,21;7,16
11;Rondônia;1100379;Alto Alegre dos Parecis;56;0,03;0,03
11;Rondônia;1100403;Alto Paraíso;76;3,98;5,29
11;Rondônia;1100452;Buritis;158;0,03;3,19
11;Rondônia;1100502;Novo Horizonte do Oeste;56;0,02;17,87
11;Rondônia;1100601;Cacaulândia;30;0,02;13,35
11;Rondônia;1100700;Campo Novo de Rondônia;39;0,02;0,02
11;Rondônia;1100809;Candeias do Jamari;127;0,81;2,39
11;Rondônia;1100908;Castanheiras;17;0,03;35,31
11;Rondônia;1100924;Chupinguaia;39;2,6;2,6
11;Rondônia;1100940;Cujubim;48;0,03;6,27
11;Rondônia;1101005;Governador Jorge Teixeira;59;3,42;3,42
11;Rondônia;1101104;Itapuã do Oeste;36;2,8;2,8
11;Rondônia;1101203;Ministro Andreazza;40;0,06;2,56
11;Rondônia;1101302;Mirante da Serra;62;0,03;1,64
11;Rondônia;1101401;Monte Negro;96;0,02;0,02
11;Rondônia;1101435;Nova União;32;0,04;0,04
11;Rondônia;1101450;Parecis;14;0,03;0,03
11;Rondônia;1101468;Pimenteiras do Oeste;11;0,02;0,02
11;Rondônia;1101476;Primavera de Rondônia;24;0,02;0,02
11;Rondônia;1101484;São Felipe D'Oeste;39;2,59;2,59
11;Rondônia;1101492;São Francisco do Guaporé;94;1,09;7,47
11;Rondônia;1101500;Seringueiras;55;0,03;1,85
11;Rondônia;1101559;Teixeirópolis;30;0,04;6,71
11;Rondônia;1101609;Theobroma;44;0,03;9,12
11;Rondônia;1101708;Urupá;60;0,02;3,36
11;Rondônia;1101757;Vale do Anari;38;0,02;2,65
11;Rondônia;1101807;Vale do Paraíso;53;0,03;0,03
12;Acre;1200013;Acrelândia;52;5,87;0,11
12;Acre;1200054;Assis Brasil;43;23,34;4,76
12;Acre;1200104;Brasiléia;153;1,4;2,05
12;Acre;1200138;Bujari;45;2,33;6,77
12;Acre;1200179;Capixaba;50;8,1;6,11
12;Acre;1200203;Cruzeiro do Sul;446;1,64;0,97
12;Acre;1200252;Epitaciolândia;89;2,32;2,32
12;Acre;1200302;Feijó;166;1,96;0,76
12;Acre;1200328;Jordão;26;15,51;23,2
12;Acre;1200336;Mâncio Lima;87;1,34;4,79
